window,value,percentile,total_count
29,0,0.0,699
29,0,50.0,699
29,63,90.0,276
29,255,99.0,24
29,255,99.9,24
29,255,99.99,24
29,255,99.999,24
29,255,100.0,24
30,32,0.0,100
30,511,50.0,390
30,1023,90.0,120
30,1023,99.0,120
30,1023,99.9,120
30,1023,99.99,120
30,1023,99.999,120
30,1023,100.0,120
31,32,0.0,110
31,511,50.0,552
31,511,90.0,552
31,1023,99.0,96
31,1023,99.9,96
31,1023,99.99,96
31,1023,99.999,96
31,1023,100.0,96
32,32,0.0,110
32,511,50.0,436
32,1023,90.0,110
32,1023,99.0,110
32,1023,99.9,110
32,1023,99.99,110
32,1023,99.999,110
32,1023,100.0,110
33,4,0.0,5
33,511,50.0,590
33,1023,90.0,110
33,1023,99.0,110
33,1023,99.9,110
33,1023,99.99,110
33,1023,99.999,110
33,1023,100.0,110
34,32,0.0,110
34,511,50.0,551
34,511,90.0,551
34,1023,99.0,71
34,1023,99.9,71
34,1023,99.99,71
34,1023,99.999,71
34,1023,100.0,71
35,64,0.0,204
35,511,50.0,411
35,1023,90.0,110
35,1023,99.0,110
35,1023,99.9,110
35,1023,99.99,110
35,1023,99.999,110
35,1023,100.0,110
36,16,0.0,30
36,511,50.0,570
36,1023,90.0,110
36,1023,99.0,110
36,1023,99.9,110
36,1023,99.99,110
36,1023,99.999,110
36,1023,100.0,110
37,64,0.0,132
37,511,50.0,473
37,1023,90.0,120
37,1023,99.0,120
37,1023,99.9,120
37,1023,99.99,120
37,1023,99.999,120
37,1023,100.0,120
38,64,0.0,100
38,511,50.0,520
38,1023,90.0,200
38,1023,99.0,200
38,1023,99.9,200
38,1023,99.99,200
38,1023,99.999,200
38,1023,100.0,200
39,32,0.0,57
39,511,50.0,488
39,1023,90.0,180
39,1023,99.0,180
39,1023,99.9,180
39,1023,99.99,180
39,1023,99.999,180
39,1023,100.0,180
40,64,0.0,160
40,511,50.0,427
40,1023,90.0,140
40,1023,99.0,140
40,1023,99.9,140
40,1023,99.99,140
40,1023,99.999,140
40,1023,100.0,140
41,8,0.0,10
41,511,50.0,510
41,1023,90.0,150
41,1023,99.0,150
41,1023,99.9,150
41,1023,99.99,150
41,1023,99.999,150
41,1023,100.0,150
42,16,0.0,30
42,511,50.0,340
42,1023,90.0,280
42,1023,99.0,280
42,1023,99.9,280
42,1023,99.99,280
42,1023,99.999,280
42,1023,100.0,280
43,32,0.0,50
43,511,50.0,341
43,1023,90.0,269
43,1023,99.0,269
43,1023,99.9,269
43,1023,99.99,269
43,1023,99.999,269
43,1023,100.0,269
44,4,0.0,8
44,511,50.0,424
44,1023,90.0,166
44,1023,99.0,166
44,1023,99.9,166
44,1023,99.99,166
44,1023,99.999,166
44,1023,100.0,166
45,32,0.0,109
45,511,50.0,340
45,1023,90.0,230
45,1023,99.0,230
45,1023,99.9,230
45,1023,99.99,230
45,1023,99.999,230
45,1023,100.0,230
46,32,0.0,100
46,511,50.0,511
46,1023,90.0,239
46,1023,99.0,239
46,1023,99.9,239
46,1023,99.99,239
46,1023,99.999,239
46,1023,100.0,239
47,16,0.0,35
47,511,50.0,459
47,1023,90.0,230
47,1023,99.0,230
47,1023,99.9,230
47,1023,99.99,230
47,1023,99.999,230
47,1023,100.0,230
48,64,0.0,135
48,511,50.0,390
48,1023,90.0,200
48,1023,99.0,200
48,1023,99.9,200
48,1023,99.99,200
48,1023,99.999,200
48,1023,100.0,200
49,64,0.0,150
49,511,50.0,520
49,1023,90.0,150
49,1023,99.0,150
49,1023,99.9,150
49,1023,99.99,150
49,1023,99.999,150
49,1023,100.0,150
50,32,0.0,60
